feature_method,classifier,accuracy,precision_sports,recall_sports,f1_sports,train_time_sec,inference_time_sec,vocab_size
ngram_count_1_2,knn,0.9671848013816926,0.9651567944250871,0.9685314685314685,0.9668411867364747,0.0013323000002856134,0.037515100000746315,4848
bow_unigram,knn,0.9671848013816926,0.968421052631579,0.965034965034965,0.9667250437828371,0.0014465999993262812,0.038845999999466585,2975
tfidf_unigram,random_forest,0.9671848013816926,0.989010989010989,0.9440559440559441,0.9660107334525939,0.26854629999979807,0.03850059999967925,2975
ngram_count_1_2,random_forest,0.9671848013816926,0.992619926199262,0.9405594405594405,0.9658886894075404,0.29576409999936004,0.03766240000004473,4848
tfidf_unigram,knn,0.9654576856649395,0.9683098591549296,0.9615384615384616,0.9649122807017544,0.001138000001446926,0.031374800000776304,2975
bow_unigram,random_forest,0.9654576856649395,0.9889705882352942,0.9405594405594405,0.96415770609319,0.33605030000035185,0.037176800000452204,2975
bow_unigram,decision_tree,0.8981001727115717,0.8388059701492537,0.9825174825174825,0.9049919484702094,0.037542100000791834,0.0005440999993879814,2975
tfidf_unigram,decision_tree,0.8981001727115717,0.8388059701492537,0.9825174825174825,0.9049919484702094,0.028635499998927116,0.00033239999902434647,2975
ngram_count_1_2,decision_tree,0.8946459412780656,0.8338278931750742,0.9825174825174825,0.9020866773675762,0.039368699999613455,0.0005335999994713347,4848
