feature_method,classifier,class,term,score
bow_unigram,decision_tree,global,congress,0.19931345707859613
bow_unigram,decision_tree,global,bjp,0.14144997729562683
bow_unigram,decision_tree,global,world,0.09611282967485013
bow_unigram,decision_tree,global,india,0.061936605027285645
bow_unigram,decision_tree,global,gandhi,0.04483631844179365
bow_unigram,decision_tree,global,modi,0.040114855084757345
bow_unigram,decision_tree,global,cm,0.038696666481765854
bow_unigram,decision_tree,global,opposition,0.031769903739645694
bow_unigram,decision_tree,global,sena,0.029416577536709097
bow_unigram,decision_tree,global,sabha,0.024430716937266693
bow_unigram,decision_tree,global,minister,0.020236537456868327
bow_unigram,decision_tree,global,maharashtra,0.018474734090177834
bow_unigram,decision_tree,global,bloc,0.018228966657651363
bow_unigram,decision_tree,global,assembly,0.017071484684291025
bow_unigram,decision_tree,global,poll,0.015618395448490774
bow_unigram,random_forest,global,congress,0.057632969118682834
bow_unigram,random_forest,global,bjp,0.05458207050170658
bow_unigram,random_forest,global,cup,0.034204539782899966
bow_unigram,random_forest,global,world,0.032937255310466096
bow_unigram,random_forest,global,india,0.030593289327777953
bow_unigram,random_forest,global,t20,0.020002614681090308
bow_unigram,random_forest,global,cm,0.017773170652909332
bow_unigram,random_forest,global,2026,0.017439736727761876
bow_unigram,random_forest,global,gandhi,0.01687786635353987
bow_unigram,random_forest,global,pm,0.016566388833247264
bow_unigram,random_forest,global,opposition,0.01596241546832317
bow_unigram,random_forest,global,modi,0.015135206994864179
bow_unigram,random_forest,global,rahul,0.013217795356127741
bow_unigram,random_forest,global,vs,0.012685538540204502
bow_unigram,random_forest,global,open,0.011110372579778916
tfidf_unigram,decision_tree,global,congress,0.19931345707859613
tfidf_unigram,decision_tree,global,bjp,0.14144997729562683
tfidf_unigram,decision_tree,global,world,0.09611282967485013
tfidf_unigram,decision_tree,global,india,0.061936605027285645
tfidf_unigram,decision_tree,global,gandhi,0.04483631844179365
tfidf_unigram,decision_tree,global,modi,0.040114855084757345
tfidf_unigram,decision_tree,global,cm,0.038696666481765854
tfidf_unigram,decision_tree,global,opposition,0.031769903739645694
tfidf_unigram,decision_tree,global,sena,0.029416577536709097
tfidf_unigram,decision_tree,global,sabha,0.024430716937266693
tfidf_unigram,decision_tree,global,minister,0.020236537456868327
tfidf_unigram,decision_tree,global,maharashtra,0.018474734090177834
tfidf_unigram,decision_tree,global,bloc,0.018228966657651363
tfidf_unigram,decision_tree,global,assembly,0.017071484684291025
tfidf_unigram,decision_tree,global,poll,0.015618395448490774
tfidf_unigram,random_forest,global,congress,0.057632969118682834
tfidf_unigram,random_forest,global,bjp,0.05458207050170658
tfidf_unigram,random_forest,global,cup,0.034204539782899966
tfidf_unigram,random_forest,global,world,0.032937255310466096
tfidf_unigram,random_forest,global,india,0.030593289327777953
tfidf_unigram,random_forest,global,t20,0.020002614681090308
tfidf_unigram,random_forest,global,cm,0.017773170652909332
tfidf_unigram,random_forest,global,2026,0.017439736727761876
tfidf_unigram,random_forest,global,gandhi,0.01687786635353987
tfidf_unigram,random_forest,global,pm,0.016566388833247264
tfidf_unigram,random_forest,global,opposition,0.01596241546832317
tfidf_unigram,random_forest,global,modi,0.015135206994864179
tfidf_unigram,random_forest,global,rahul,0.013217795356127741
tfidf_unigram,random_forest,global,vs,0.012685538540204502
tfidf_unigram,random_forest,global,open,0.011110372579778916
ngram_count_1_2,decision_tree,global,congress,0.19932215374227613
ngram_count_1_2,decision_tree,global,bjp,0.1414561491964012
ngram_count_1_2,decision_tree,global,world,0.09611702337540236
ngram_count_1_2,decision_tree,global,india,0.06193930751326576
ngram_count_1_2,decision_tree,global,gandhi,0.04483827478928696
ngram_count_1_2,decision_tree,global,modi,0.040116605420175526
ngram_count_1_2,decision_tree,global,cm,0.03869835493722121
ngram_count_1_2,decision_tree,global,opposition,0.03177128995898091
ngram_count_1_2,decision_tree,global,sena,0.02941786107313059
ngram_count_1_2,decision_tree,global,sabha,0.024431782925142167
ngram_count_1_2,decision_tree,global,minister,0.020237420439697937
ngram_count_1_2,decision_tree,global,maharashtra,0.01847554020006783
ngram_count_1_2,decision_tree,global,bloc,0.018229762043946798
ngram_count_1_2,decision_tree,global,assembly,0.01707222956606165
ngram_count_1_2,decision_tree,global,poll,0.015619076927475824
ngram_count_1_2,random_forest,global,congress,0.0514245528374604
ngram_count_1_2,random_forest,global,bjp,0.0456799824581893
ngram_count_1_2,random_forest,global,world,0.027192449088409332
ngram_count_1_2,random_forest,global,india,0.025729462023564104
ngram_count_1_2,random_forest,global,cup,0.024026555437454265
ngram_count_1_2,random_forest,global,t20,0.017986275457830617
ngram_count_1_2,random_forest,global,cm,0.014768344953496755
ngram_count_1_2,random_forest,global,modi,0.014331373980194543
ngram_count_1_2,random_forest,global,world_cup,0.013424368220224548
ngram_count_1_2,random_forest,global,2026,0.013316106369884976
ngram_count_1_2,random_forest,global,opposition,0.01331459329377379
ngram_count_1_2,random_forest,global,t20_world,0.013056364024463212
ngram_count_1_2,random_forest,global,gandhi,0.012561209283283102
ngram_count_1_2,random_forest,global,open,0.011342728180480965
ngram_count_1_2,random_forest,global,vs,0.011323985813612786
